model,case_id,arc_stem,passed,skipped,skip_reason,checked_goal_count,valid_goal_count,total_seconds,total_tokens
gpt-5,115,SpecGenBench_0310__SpecGenBench__common__IsCommonFactor__IsCommonFactor,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0115/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0115/candidate.c:8: Warning: 
  wrong order of clause in contract: terminates after post-condition, assigns or allocates.
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0115/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,2399
gpt-5,116,SpecGenBench_0311__SpecGenBench__common__IsCommonFactorBranch__IsCommonFactorBranch,True,False,,5,5,0.35575975201209076,1737
gpt-5,117,SpecGenBench_0312__SpecGenBench__common__IsCommonMultiple__IsCommonMultiple,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0117/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0117/candidate.c:12: Warning: 
  unexpected token '>'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0117/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,3148
gpt-5,118,SpecGenBench_0313__SpecGenBench__common__IsCommonMultipleBranch__IsCommonMultipleBranch,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0118/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0118/candidate.c:18: Warning: 
  wrong order of clause in contract: post-condition after complete or disjoint.
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0118/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,2703
gpt-5,119,SpecGenBench_0314__SpecGenBench__common__IsDescending__IsDescending,True,False,,12,12,0.8524157849897165,3597
gpt-5,120,SpecGenBench_0315__SpecGenBench__common__IsMonotonic__IsMonotonic,False,False,,23,20,11.187071492022369,5534
gpt-5,121,SpecGenBench_0316__SpecGenBench__common__IsOneBitCharacter__IsOneBitCharacter,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0121/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0121/candidate.c:9: Warning: 
  unbound logic variable i. Ignoring logic specification of function isOneBitCharacter
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0121/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,4359
gpt-5,128,SpecGenBench_0324__SpecGenBench__common__LeapYear__LeapYear,True,False,,10,10,0.9595322200038936,2034
gpt-5,129,SpecGenBench_0325__SpecGenBench__common__LeapYearSeq__LeapYearSeq,True,False,,12,12,0.8139442559913732,2081
gpt-5,133,SpecGenBench_0331__SpecGenBench__common__MoveZeroes__MoveZeroes,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0133/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0133/candidate.c:2: Warning: 
  unexpected token 'reads'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0133/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,7655
gpt-5,134,SpecGenBench_0333__SpecGenBench__common__MulNested__MulNested,True,False,,21,21,1.2283117579936516,6068
gpt-5,135,SpecGenBench_0334__SpecGenBench__common__MyPower__MyPower,True,False,,7,7,0.7809899010171648,4508
gpt-5,136,SpecGenBench_0335__SpecGenBench__common__MySqrt__MySqrt,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0136/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0136/candidate.c:13: Warning: 
  unbound logic function \integer. Ignoring logic specification of function mySqrt
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0136/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,6199
gpt-5,137,SpecGenBench_0338__SpecGenBench__common__NotCommonFactor__NotCommonFactor,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0137/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0137/candidate.c:7: Warning: 
  unexpected token '>'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0137/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,2657
gpt-5,138,SpecGenBench_0339__SpecGenBench__common__NotCommonFactorBranch__NotCommonFactorBranch,True,False,,10,10,0.4111209379916545,2096
gpt-5,139,SpecGenBench_0340__SpecGenBench__common__NotCommonMultiple__NotCommonMultiple,True,False,,9,9,0.4647880289994646,3834
gpt-5,140,SpecGenBench_0341__SpecGenBench__common__NumberOfCuts__NumberOfCuts,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0140/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0140/candidate.c:20: Warning: 
  wrong order of clause in contract: post-condition after complete or disjoint.
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0140/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,1782
gpt-5,141,SpecGenBench_0342__SpecGenBench__common__NumberOfCutsSeq__NumberOfCutsSeq,True,False,,9,9,0.828098657017108,1511
gpt-5,142,SpecGenBench_0343__SpecGenBench__common__OddEven__OddEven,True,False,,14,14,0.47810939300688915,2808
gpt-5,143,SpecGenBench_0344__SpecGenBench__common__PassPillow__PassPillow,True,False,,5,5,0.8082530800020322,4000
gpt-5,144,SpecGenBench_0345__SpecGenBench__common__PassPillowBranch__PassPillowBranch,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0144/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0144/candidate.c:10: Warning: 
  \old undefined in this context. Ignoring logic specification of function passPillow
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0144/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,5431
gpt-5,145,SpecGenBench_0346__SpecGenBench__common__Perimeter__Perimeter,True,False,,12,12,0.48260847700294107,3611
gpt-5,146,SpecGenBench_0350__SpecGenBench__common__PowerOfFourLoop__PowerOfFourLoop,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0146/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0146/candidate.c:11: Warning: 
  unexpected token '>'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0146/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,6956
gpt-5,147,SpecGenBench_0351__SpecGenBench__common__PowerOfThree__PowerOfThree,False,False,,8,5,21.36731589300325,6197
gpt-5,148,SpecGenBench_0354__SpecGenBench__common__PowerOfTwoLoop__PowerOfTwoLoop,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0148/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0148/candidate.c:14: Warning: 
  syntax error (expression expected but predicate found). Ignoring logic specification of function isPowerOfTwo
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0148/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,4721
gpt-5,149,SpecGenBench_0355__SpecGenBench__common__PrimeCheck__PrimeCheck,True,False,,10,10,0.8588160169892944,3223
gpt-5,150,FormalBench_0001__FormalBenchHF__diverse__rule_1__GetNumber_llm_2,False,False,,24,20,22.68645597898285,5757
gpt-5,151,FormalBench_0002__FormalBenchHF__diverse__rule_1__GetNumber_llm_1,False,False,,28,23,22.825303146004444,6981
gpt-5,152,FormalBench_0003__FormalBenchHF__diverse__rule_1__GetNumber_llm_0,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0152/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0152/candidate.c:58: Warning: 
  Only one code annotation is allowed per comment
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0152/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,8446
gpt-5,153,FormalBench_0004__FormalBenchHF__base__programs__GetNumber,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0153/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0153/candidate.c:29: Warning: 
  wrong order of clause in contract: post-condition after complete or disjoint.
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0153/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,6063
gpt-5,154,FormalBench_0005__FormalBenchHF__diverse__rule_1__MaxProduct_llm_2,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0154/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0154/candidate.c:11: Warning: 
  logic label `\post' not found. Ignoring logic specification of function maxProduct
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0154/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,5415
gpt-5,155,FormalBench_0006__FormalBenchHF__diverse__rule_1__MaxProduct_llm_1,False,False,,34,28,22.324908184993546,8404
gpt-5,156,FormalBench_0007__FormalBenchHF__diverse__rule_1__MaxProduct_llm_0,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0156/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0156/candidate.c:11: Warning: 
  logic label `\Post' not found. Ignoring logic specification of function maxProduct
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0156/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,6404
gpt-5,157,FormalBench_0008__FormalBenchHF__base__programs__MaxProduct,False,False,,0,0,0.25182402500649914,8469
gpt-5,158,FormalBench_0009__FormalBenchHF__base__programs__SmallestMultiple,False,False,,24,21,12.319355140003609,6810
gpt-5,159,FormalBench_0010__FormalBenchHF__diverse__rule_1__FirstMissingPositive_llm_2,False,False,,22,20,10.959289569989778,4078
gpt-5,160,FormalBench_0011__FormalBenchHF__diverse__rule_1__FirstMissingPositive_llm_1,False,False,,21,19,11.547961917996872,6759
gpt-5,161,FormalBench_0012__FormalBenchHF__diverse__rule_1__FirstMissingPositive_llm_0,False,False,,29,27,11.239608681004029,5644
gpt-5,162,FormalBench_0013__FormalBenchHF__base__programs__FirstMissingPositive,False,False,,21,19,11.667750627995702,6993
gpt-5,163,FormalBench_0014__FormalBenchHF__diverse__rule_1__FindEvenPair_llm_2,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0163/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0163/candidate.c:43: Warning: 
  unexpected token 'integer'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0163/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,7013
gpt-5,164,FormalBench_0015__FormalBenchHF__diverse__rule_1__FindEvenPair_llm_1,False,False,,0,0,0.4580847350007389,8426
gpt-5,165,FormalBench_0016__FormalBenchHF__diverse__rule_1__FindEvenPair_llm_0,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0165/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0165/candidate.c:17: Warning: 
  unexpected token 'p'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0165/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,5905
gpt-5,166,FormalBench_0017__FormalBenchHF__base__programs__FindEvenPair,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0166/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0166/candidate.c:7: Warning: 
  unexpected token 'i'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0166/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,7097
gpt-5,167,FormalBench_0018__FormalBenchHF__base__programs__MinOps,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0167/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0167/candidate.c:9: Warning: 
  unexpected token 'requires'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0167/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,8015
gpt-5,168,FormalBench_0019__FormalBenchHF__diverse__rule_1__FindRotationCount_llm_2,False,False,,16,14,12.178626988985343,8096
gpt-5,169,FormalBench_0020__FormalBenchHF__diverse__rule_1__FindRotationCount_llm_1,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0169/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0169/candidate.c:43: Warning: 
  Only one code annotation is allowed per comment
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0169/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,6147
gpt-5,170,FormalBench_0021__FormalBenchHF__diverse__rule_1__FindRotationCount_llm_0,False,False,,16,11,22.204925749014365,6405
gpt-5,171,FormalBench_0022__FormalBenchHF__diverse__rule_1__FindKth_llm_2,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0171/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0171/candidate.c:3: Warning: 
  unexpected token 'integer'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0171/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,5242
gpt-5,172,FormalBench_0023__FormalBenchHF__diverse__rule_1__FindKth_llm_1,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0172/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0172/candidate.c:24: Warning: 
  unexpected token 'integer'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0172/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,6231
gpt-5,173,FormalBench_0024__FormalBenchHF__diverse__rule_1__FindKth_llm_0,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0173/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0173/candidate.c:26: Warning: 
  unexpected token 'integer'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0173/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,7308
gpt-5,174,FormalBench_0025__FormalBenchHF__base__programs__FindRotationCount,False,False,,17,15,14.050789691013051,6166
gpt-5,175,FormalBench_0026__FormalBenchHF__diverse__rule_1__FindLastOccurrence_llm_2,False,False,,22,19,17.937323202000698,7267
gpt-5,176,FormalBench_0027__FormalBenchHF__diverse__rule_1__FindLastOccurrence_llm_1,False,False,,19,15,15.536343281011796,7925
gpt-5,177,FormalBench_0028__FormalBenchHF__diverse__rule_1__FindLastOccurrence_llm_0,False,False,,23,16,25.59732252600952,7096
gpt-5,178,FormalBench_0032__FormalBenchHF__base__programs__FindKth,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0178/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0178/candidate.c:6: Warning: 
  unexpected token 'i'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0178/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,5205
gpt-5,179,FormalBench_0034__FormalBenchHF__diverse__rule_1__CountRotation_llm_2,True,False,,13,13,4.4030682730081026,3504
gpt-5,180,FormalBench_0035__FormalBenchHF__diverse__rule_1__CountRotation_llm_1,True,False,,12,12,2.401492914999835,3652
gpt-5,181,FormalBench_0036__FormalBenchHF__diverse__rule_1__CountRotation_llm_0,True,False,,14,14,5.072008629998891,4186
gpt-5,182,FormalBench_0037__FormalBenchHF__base__programs__FindLastOccurrence,False,False,,20,14,25.855624750984134,4859
gpt-5,183,FormalBench_0038__FormalBenchHF__base__programs__CountRotation,True,False,,11,11,5.4894929889997,2894
gpt-5,184,FormalBench_0039__FormalBenchHF__base__programs__Sum,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0184/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0184/candidate.c:23: Warning: 
  unexpected token '\forall'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0184/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,6380
gpt-5,185,FormalBench_0040__FormalBenchHF__base__programs__FindFirstOccurrence,False,False,,17,12,23.484099498018622,4032
gpt-5,186,FormalBench_0044__FormalBenchHF__diverse__rule_1__FrequencyOfSmallest_llm_2,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0186/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0186/candidate.c:37: Warning: 
  unexpected token 'integer'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0186/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,4179
gpt-5,187,FormalBench_0045__FormalBenchHF__diverse__rule_1__FrequencyOfSmallest_llm_1,False,False,,17,16,14.037181918974966,6142
gpt-5,188,FormalBench_0046__FormalBenchHF__diverse__rule_1__FrequencyOfSmallest_llm_0,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0188/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0188/candidate.c:5: Warning: 
  unexpected token 'm'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0188/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,4898
gpt-5,189,FormalBench_0047__FormalBenchHF__base__programs__FrequencyOfSmallest,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0189/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0189/candidate.c:28: Warning: 
  unexpected token 'integer'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0189/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,4399
gpt-5,190,FormalBench_0048__FormalBench__FormalBench__assistants__examples__java__3,False,False,,20,17,13.651562591985567,3775
gpt-5,191,FormalBench_0049__FormalBenchHF__diverse__rule_1__CountWays_llm_2,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0191/candidate.c (with preprocessing)
[kernel] represent/results/smoke/bare_model/c/gpt-5/sespec_0191/candidate.c:53: 
  syntax error:
  Location: line 53, between columns 3 and 4, before or at token: W
  51            loop variant count - w + 1;
  52          */
  53    			W[w] = W[w - 2]
        ^^^^^^^^^^^^^^^^^^
  54    					+ 2 * C[w - 1];
  55    			C[w] = W[w - 1] + C[w - 2];
[kernel] Frama-C aborted: invalid user input.",,,0.0,5303
gpt-5,192,FormalBench_0050__FormalBenchHF__diverse__rule_1__CountWays_llm_1,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0192/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0192/candidate.c:15: Warning: 
  unexpected token 'assume'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0192/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,6151
gpt-5,193,FormalBench_0051__FormalBenchHF__diverse__rule_1__CountWays_llm_0,False,False,,0,0,1.1771993339934852,8430
gpt-5,194,FormalBench_0052__FormalBenchHF__diverse__rule_1__MaxSubArraySum_llm_2,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0194/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0194/candidate.c:13: Warning: 
  unexpected token 'k'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0194/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,6349
gpt-5,195,FormalBench_0053__FormalBenchHF__diverse__rule_1__MaxSubArraySum_llm_1,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0195/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0195/candidate.c:14: Warning: 
  unbound logic variable k. Ignoring logic specification of function maxSubArraySum
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0195/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,5489
gpt-5,196,FormalBench_0054__FormalBenchHF__diverse__rule_1__MaxSubArraySum_llm_0,False,False,,14,13,13.025967041990953,3525
gpt-5,197,FormalBench_0055__FormalBenchHF__diverse__rule_1__CatalanNumber_llm_2,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0197/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0197/candidate.c:7: Warning: 
  unexpected token 'integer'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0197/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,7348
gpt-5,198,FormalBench_0056__FormalBenchHF__diverse__rule_1__CatalanNumber_llm_1,False,False,,0,0,1.2940123710141052,8385
gpt-5,199,FormalBench_0057__FormalBenchHF__diverse__rule_1__CatalanNumber_llm_0,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0199/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0199/candidate.c:5: Warning: 
  unexpected token 'k'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0199/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,7782
gpt-5,200,FormalBench_0058__FormalBenchHF__base__programs__MaxSubArraySum,False,False,,0,0,0.8319623339921236,8430
gpt-5,201,FormalBench_0059__FormalBenchHF__base__programs__CountWays,False,False,,17,13,34.13922244301648,6335
gpt-5,202,FormalBench_0060__FormalBenchHF__diverse__rule_1__FindMinSwaps_llm_2,False,False,,19,16,12.881038382009137,5902
gpt-5,203,FormalBench_0061__FormalBenchHF__diverse__rule_1__FindMinSwaps_llm_1,False,False,,0,0,0.792555285996059,8376
gpt-5,204,FormalBench_0062__FormalBenchHF__diverse__rule_1__FindMinSwaps_llm_0,False,False,,14,12,11.888686093996512,6860
gpt-5,205,FormalBench_0063__FormalBenchHF__diverse__rule_1__FindExtra_llm_2,False,False,,13,10,12.83598325800267,5930
gpt-5,206,FormalBench_0064__FormalBenchHF__diverse__rule_1__FindExtra_llm_1,False,False,,18,14,14.019162173004588,4617
gpt-5,207,FormalBench_0065__FormalBenchHF__diverse__rule_1__FindExtra_llm_0,False,False,,0,0,0.5762612149992492,8389
gpt-5,208,FormalBench_0066__FormalBenchHF__diverse__rule_1__FindElement_llm_2,False,False,,19,18,11.796249959006673,4128
