sespec_case_id,judge_verdict,fc_verdict,postcond,loop_details,n_loops_A,n_loops_B,harness_dir
275,equal,inconclusive,AB=failed(4/6) BA=proved(4/4),"L1:AB=error(0/0),BA=error(0/0); L2:AB=error(0/0),BA=error(0/0)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/275
277,incomparable,incomparable,AB=failed(4/6) BA=failed(6/9),"L1:AB=failed(36/39),BA=failed(7/9)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/277
278,incomparable,incomparable,AB=failed(4/6) BA=failed(5/10),"L1:AB=failed(32/38),BA=failed(5/7)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/278
279,B_stronger,B_stronger,AB=failed(4/8) BA=proved(6/6),"L1:AB=failed(13/22),BA=proved(7/7)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/279
280,A_stronger,incomparable,AB=failed(4/5) BA=failed(4/7),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/280
281,B_stronger,inconclusive,AB=proved(4/4) BA=proved(4/4),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/281
282,A_stronger,inconclusive,AB=failed(4/5) BA=proved(6/6),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/282
283,B_stronger,incomparable,AB=failed(4/6) BA=failed(5/7),"L1:AB=failed(31/33),BA=failed(10/11)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/283
284,equal,incomparable,AB=failed(4/7) BA=failed(4/7),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/284
285,B_stronger,incomparable,AB=proved(4/4) BA=failed(4/5),"L1:AB=failed(31/32),BA=failed(9/11)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/285
286,A_stronger,B_stronger,AB=failed(4/5) BA=proved(1/1),"L1:AB=failed(25/29),BA=proved(5/5)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/286
290,A_stronger,B_stronger,,"L1:AB=failed(28/32),BA=proved(5/5)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/290
291,A_stronger,incomparable,AB=failed(4/5) BA=proved(1/1),"L1:AB=failed(33/35),BA=failed(8/9)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/291
292,B_stronger,incomparable,AB=failed(4/5) BA=failed(2/4),"L1:AB=failed(24/26),BA=proved(5/5)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/292
295,B_stronger,incomparable,AB=failed(4/5) BA=failed(1/2),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/295
297,A_stronger,inconclusive,AB=failed(4/5) BA=proved(1/1),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/297
298,A_stronger,incomparable,AB=failed(4/8) BA=failed(4/5),"L1:AB=proved(3/3),BA=failed(8/9)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/298
299,B_stronger,A_stronger,AB=proved(4/4) BA=failed(4/6),"L1:AB=proved(21/21),BA=failed(5/7)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/299
300,equal,incomparable,AB=failed(4/8) BA=failed(4/5),"L1:AB=failed(14/17),BA=failed(7/8)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/300
301,A_stronger,incomparable,AB=failed(4/6) BA=failed(4/7),"L1:AB=failed(7/10),BA=failed(12/15)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/301
303,B_stronger,incomparable,AB=failed(4/5) BA=proved(1/1),"L1:AB=failed(21/26),BA=failed(6/9)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/303
304,B_stronger,incomparable,AB=failed(4/5) BA=failed(1/2),"L1:AB=failed(38/40),BA=failed(1/5)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/304
305,A_stronger,incomparable,AB=failed(4/6) BA=proved(10/10),"L1:AB=failed(11/14),BA=failed(9/11)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/305
306,B_stronger,incomparable,AB=failed(4/5) BA=failed(3/4),"L1:AB=failed(34/38),BA=failed(5/6)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/306
307,B_stronger,incomparable,AB=failed(4/6) BA=failed(4/8),"L1:AB=failed(42/43),BA=failed(8/9)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/307
308,equal,incomparable,AB=failed(4/8) BA=failed(4/6),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/308
309,B_stronger,incomparable,AB=failed(4/6) BA=failed(5/7),"L1:AB=failed(36/39),BA=failed(5/7)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/309
310,B_stronger,incomparable,AB=failed(4/5) BA=failed(7/9),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/310
311,B_stronger,incomparable,AB=failed(4/5) BA=failed(6/11),"L1:AB=error(0/0),BA=error(0/0); L2:AB=error(0/0),BA=error(0/0)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/311
312,B_stronger,inconclusive,AB=proved(4/4) BA=failed(4/6),"L1:AB=error(0/0),BA=error(0/0); L2:AB=error(0/0),BA=error(0/0)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/312
314,equal,incomparable,AB=failed(4/6) BA=failed(5/7),"L1:AB=error(0/0),BA=error(0/0); L2:AB=error(0/0),BA=error(0/0)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/314
315,B_stronger,incomparable,AB=failed(4/5) BA=failed(6/7),"L1:AB=failed(17/18),BA=failed(3/4); L2:AB=error(0/0),BA=error(0/0)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/315
316,A_stronger,incomparable,AB=failed(4/5) BA=failed(7/9),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/316
317,incomparable,incomparable,AB=failed(4/5) BA=failed(4/6),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/317
318,equal,incomparable,AB=failed(4/5) BA=failed(5/8),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/318
319,B_stronger,incomparable,AB=failed(4/7) BA=failed(5/6),"L1:AB=failed(42/44),BA=failed(8/10)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/319
320,A_stronger,incomparable,AB=failed(4/5) BA=failed(5/6),"L1:AB=failed(17/19),BA=proved(7/7)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/320
321,incomparable,incomparable,AB=failed(4/5) BA=failed(5/8),"L1:AB=failed(69/73),BA=proved(10/10)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/321
322,A_stronger,incomparable,AB=proved(4/4) BA=failed(10/11),"L1:AB=failed(57/61),BA=failed(7/9)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/322
323,A_stronger,incomparable,AB=proved(4/4) BA=failed(4/9),"L1:AB=failed(31/33),BA=proved(5/5)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/323
324,B_stronger,incomparable,AB=proved(4/4) BA=failed(4/7),"L1:AB=failed(46/51),BA=failed(4/5); L2:AB=error(0/0),BA=error(0/0)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/324
325,equal,incomparable,AB=failed(4/5) BA=failed(4/6),"L1:AB=failed(35/37),BA=failed(4/5); L2:AB=error(0/0),BA=error(0/0)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/325
326,equal,incomparable,AB=failed(4/5) BA=failed(4/5),"L1:AB=failed(39/42),BA=failed(6/7); L2:AB=error(0/0),BA=error(0/0)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/326
327,B_stronger,incomparable,AB=failed(4/6) BA=failed(5/11),"L1:AB=failed(31/32),BA=failed(5/7); L2:AB=failed(30/31),BA=failed(4/5)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/327
328,A_stronger,inconclusive,AB=failed(4/5) BA=proved(5/5),"L1:AB=error(0/0),BA=error(0/0); L2:AB=error(0/0),BA=error(0/0)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/328
329,B_stronger,inconclusive,AB=failed(4/5) BA=proved(4/4),"L1:AB=error(0/0),BA=error(0/0); L2:AB=error(0/0),BA=error(0/0)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/329
330,B_stronger,incomparable,AB=failed(4/5) BA=failed(4/8),"L1:AB=error(0/0),BA=error(0/0); L2:AB=error(0/0),BA=error(0/0)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/330
331,equal,incomparable,AB=failed(4/6) BA=failed(4/7),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/331
332,A_stronger,inconclusive,AB=proved(4/4) BA=failed(4/6),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/332
333,A_stronger,inconclusive,AB=proved(4/4) BA=failed(4/6),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/333
335,B_stronger,incomparable,AB=failed(4/5) BA=failed(4/7),"L1:AB=failed(45/46),BA=failed(4/6)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/335
339,B_stronger,inconclusive,AB=proved(4/4) BA=failed(4/6),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/339
340,B_stronger,incomparable,AB=failed(4/5) BA=failed(6/9),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/340
341,B_stronger,inconclusive,AB=proved(4/4) BA=failed(4/8),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/341
342,B_stronger,inconclusive,,"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/342
343,B_stronger,incomparable,AB=failed(4/6) BA=failed(4/7),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/343
344,A_stronger,incomparable,AB=proved(4/4) BA=failed(4/8),"L1:AB=failed(52/55),BA=proved(8/8)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/344
345,B_stronger,inconclusive,AB=proved(4/4) BA=failed(4/6),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/345
346,A_stronger,inconclusive,AB=proved(4/4) BA=failed(4/5),"L1:AB=error(0/0),BA=error(0/0); L2:AB=error(0/0),BA=error(0/0)",2,2,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/346
347,B_stronger,incomparable,AB=proved(4/4) BA=failed(4/8),"L1:AB=failed(29/31),BA=failed(7/8)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/347
348,B_stronger,incomparable,AB=failed(4/5) BA=failed(4/8),"L1:AB=failed(26/28),BA=failed(7/8)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/348
349,A_stronger,inconclusive,AB=proved(4/4) BA=failed(4/8),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/349
350,A_stronger,inconclusive,AB=proved(4/4) BA=failed(4/5),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/350
351,A_stronger,incomparable,AB=proved(4/4) BA=failed(4/5),"L1:AB=failed(73/83),BA=failed(5/7)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/351
352,A_stronger,inconclusive,AB=proved(4/4) BA=proved(5/5),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/352
354,A_stronger,inconclusive,AB=proved(4/4) BA=proved(4/4),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/354
355,B_stronger,inconclusive,AB=proved(4/4) BA=failed(4/5),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/355
358,incomparable,incomparable,AB=failed(4/5) BA=failed(4/10),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/358
359,B_stronger,incomparable,AB=failed(4/5) BA=failed(4/8),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/359
360,B_stronger,incomparable,AB=failed(4/5) BA=failed(4/7),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/360
361,B_stronger,incomparable,AB=failed(4/6) BA=failed(5/7),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/361
362,B_stronger,inconclusive,AB=proved(4/4) BA=failed(5/8),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/362
364,B_stronger,A_stronger,AB=proved(4/4) BA=failed(4/8),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/364
369,B_stronger,incomparable,AB=failed(4/6) BA=failed(4/8),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/369
370,A_stronger,inconclusive,AB=proved(4/4) BA=failed(7/8),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/370
371,B_stronger,incomparable,AB=failed(4/5) BA=failed(4/9),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/371
372,A_stronger,incomparable,AB=proved(4/4) BA=failed(4/6),"L1:AB=failed(24/27),BA=proved(4/4)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/372
373,B_stronger,incomparable,,"L1:AB=failed(43/45),BA=failed(6/7)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/373
374,B_stronger,incomparable,AB=failed(4/5) BA=failed(4/7),"L1:AB=failed(35/36),BA=failed(3/5)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/374
379,A_stronger,inconclusive,AB=failed(4/5) BA=proved(4/4),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/379
380,B_stronger,inconclusive,AB=proved(4/4) BA=failed(4/5),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/380
381,B_stronger,incomparable,AB=proved(4/4) BA=failed(4/5),"L1:AB=failed(35/36),BA=failed(6/7)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/381
382,B_stronger,incomparable,AB=failed(4/5) BA=failed(4/10),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/382
383,B_stronger,incomparable,AB=failed(4/5) BA=failed(4/8),"L1:AB=proved(39/39),BA=failed(8/10)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/383
384,B_stronger,incomparable,AB=failed(4/6) BA=failed(8/9),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/384
389,B_stronger,inconclusive,AB=proved(4/4) BA=proved(4/4),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/389
393,B_stronger,incomparable,AB=failed(4/5) BA=failed(4/7),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/393
394,B_stronger,incomparable,AB=failed(4/6) BA=failed(4/7),"L1:AB=error(0/0),BA=error(0/0)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/394
396,B_stronger,incomparable,AB=proved(4/4) BA=proved(5/5),"L1:AB=failed(43/48),BA=failed(5/6)",1,1,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/396
